"zip","city","county","pop"
"32444","Lynn Haven","Bay","22163"
"33034","Homestead","Miami-Dade","22142"
"32960","Vero Beach","Indian River","22036"
"32308","Tallahassee","Leon","22029"
"32401","Panama City","Bay","22027"
"34234","Sarasota","Sarasota","21932"
"32926","Cocoa","Brevard","21915"
"33714","Saint Petersburg","Pinellas","21866"
"33184","Miami","Miami-Dade","21785"
"32548","Fort Walton Beach","Okaloosa","21708"
"33323","Fort Lauderdale","Broward","21651"
"33541","Zephyrhills","Pasco","21612"
"33431","Boca Raton","Palm Beach","21610"
"33566","Plant City","Hillsborough","21505"
"33603","Tampa","Hillsborough","21366"
"33901","Fort Myers","Lee","21364"
"34747","Kissimmee","Osceola","21354"
"34212","Bradenton","Manatee","21244"
"32128","Daytona Beach","Volusia","21183"
"33852","Lake Placid","Highlands","21099"
"34771","St. Cloud","Osceola","21052"
"32952","Merritt Island","Brevard","20966"
"34481","Ocala","Marion","20963"
"32305","Tallahassee","Wakulla","20902"
"32713","Debary","Volusia","20892"
"34972","Okeechobee","Okeechobee","20877"
"33487","Boca Raton","Palm Beach","20677"
"33405","West Palm Beach","Palm Beach","20633"
"32796","Titusville","Brevard","20609"
"33167","Miami","Miami-Dade","20582"
"33606","Tampa","Hillsborough","20576"
"33525","Dade City","Pasco","20576"
"33432","Boca Raton","Palm Beach","20487"
"33434","Boca Raton","Palm Beach","20486"
"34275","Nokomis","Sarasota","20472"
"33572","Apollo Beach","Hillsborough","20380"
"32829","Orlando","Orange","20376"
"34691","Holiday","Pasco","20257"
"34286","North Port","Sarasota","20178"
"32803","Orlando","Orange","20148"
"33181","Miami","Miami-Dade","20111"
"32609","Gainesville","Alachua","20105"
"33598","Wimauma","Hillsborough","20053"
"32836","Orlando","Orange","20053"
"34238","Sarasota","Sarasota","20049"
"34473","Ocala","Marion","19998"
"33140","Miami Beach","Miami-Dade","19938"
"32217","Jacksonville","Duval","19899"
"34470","Ocala","Marion","19794"
"33761","Clearwater","Pinellas","19794"
"33440","Clewiston","Hendry","19761"
"33763","Clearwater","Pinellas","19730"
"33711","Saint Petersburg","Pinellas","19706"
"32024","Lake City","Columbia","19452"
"33187","Miami","Miami-Dade","19392"
"32601","Gainesville","Alachua","19363"
"34736","Groveland","Lake","19271"
"34480","Ocala","Marion","19188"
"32934","Melbourne","Brevard","19105"
"32541","Destin","Okaloosa","19066"
"32141","Edgewater","Volusia","19031"
"32097","Yulee","Nassau","19030"
"32805","Orlando","Orange","18908"
"32408","Panama City","Bay","18864"
"33523","Dade City","Pasco","18835"
"32351","Quincy","Gadsden","18720"
"34285","Venice","Sarasota","18653"
"33635","Tampa","Hillsborough","18650"
"33912","Fort Myers","Lee","18646"
"33131","Miami","Miami-Dade","18477"
"33559","Lutz","Hillsborough","18473"
"32966","Vero Beach","Indian River","18462"
"34695","Safety Harbor","Pinellas","18382"
"33609","Tampa","Hillsborough","18367"
"33304","Fort Lauderdale","Broward","18351"
"34223","Englewood","Sarasota","18336"
"33716","Saint Petersburg","Pinellas","18242"
"33759","Clearwater","Pinellas","18236"
"34114","Naples","Collier","18223"
"33408","North Palm Beach","Palm Beach","18207"
"34788","Leesburg","Lake","18193"
"33774","Largo","Pinellas","18097"
"34237","Sarasota","Sarasota","18071"
"32804","Orlando","Orange","18023"
"34105","Naples","Collier","18011"
"33549","Lutz","Hillsborough","17998"
"34685","Palm Harbor","Pinellas","17998"
"34613","Brooksville","Hernando","17924"
"32433","Defuniak Springs","Walton","17877"
"33565","Plant City","Hillsborough","17864"
"34145","Marco Island","Collier","17834"
"34994","Stuart","Martin","17800"
"34233","Sarasota","Sarasota","17767"
"34420","Belleview","Marion","17749"
"32821","Orlando","Orange","17680"
"33605","Tampa","Hillsborough","17655"
"33773","Largo","Pinellas","17595"
"32428","Chipley","Washington","17564"
"33637","Tampa","Hillsborough","17555"
"32118","Daytona Beach","Volusia","17520"
"33413","West Palm Beach","Palm Beach","17487"
"34465","Beverly Hills","Citrus","17455"
"34446","Homosassa","Citrus","17454"
"33760","Clearwater","Pinellas","17336"
"32459","Santa Rosa Beach","Walton","17213"
"34474","Ocala","Marion","17143"
"33534","Gibsonton","Hillsborough","17123"
"33948","Port Charlotte","Charlotte","17122"
"34951","Fort Pierce","St. Lucie","17106"
"34117","Naples","Collier","17039"
"33704","Saint Petersburg","Pinellas","16982"
"33898","Lake Wales","Polk","16931"
"32766","Oviedo","Seminole","16855"
"33616","Tampa","Hillsborough","16781"
"33066","Pompano Beach","Broward","16752"
"33777","Seminole","Pinellas","16748"
"32922","Cocoa","Brevard","16709"
"33182","Miami","Miami-Dade","16607"
"34950","Fort Pierce","St. Lucie","16603"
"32055","Lake City","Columbia","16590"
"33146","Miami","Miami-Dade","16473"
"34210","Bradenton","Manatee","16462"
"34108","Naples","Collier","16450"
"34224","Englewood","Sarasota","16422"
"33706","Saint Petersburg","Pinellas","16321"
"33035","Homestead","Miami-Dade","16159"
"33190","Miami","Miami-Dade","16147"
"33708","Saint Petersburg","Pinellas","16083"
"33004","Dania","Broward","16082"
"34984","Port St. Lucie","St. Lucie","16035"
"32206","Jacksonville","Duval","16027"
"33872","Sebring","Highlands","15923"
"33136","Miami","Miami-Dade","15848"
"33330","Fort Lauderdale","Broward","15793"
"33701","Saint Petersburg","Pinellas","15728"
"34239","Sarasota","Sarasota","15716"
"32226","Jacksonville","Duval","15667"
"33602","Tampa","Hillsborough","15586"
"34241","Sarasota","Sarasota","15568"
"32310","Tallahassee","Leon","15544"
"33972","Lehigh Acres","Lee","15515"
"33412","West Palm Beach","Palm Beach","15472"
"34292","Venice","Sarasota","15398"
"34235","Sarasota","Sarasota","15303"
"32091","Starke","Bradford","15256"
"33498","Boca Raton","Palm Beach","15150"
"32656","Keystone Heights","Clay","15150"
"33815","Lakeland","Polk","15148"
"33983","Punta Gorda","Charlotte","15100"
"33527","Dover","Hillsborough","15092"
"32963","Vero Beach","Indian River","15027"
"34134","Bonita Springs","Lee","14992"
"33301","Fort Lauderdale","Broward","14988"
"32641","Gainesville","Alachua","14959"
"33469","Jupiter","Palm Beach","14924"
"32317","Tallahassee","Leon","14876"
"34731","Fruitland Park","Lake","14858"
"32413","Panama City Beach","Bay","14805"
"34442","Hernando","Citrus","14752"
"33765","Clearwater","Pinellas","14744"
"32534","Pensacola","Escambia","14742"
"34610","Spring Hill","Pasco","14698"
"33154","Miami","Miami-Dade","14634"
"33778","Largo","Pinellas","14582"
"32903","Indialantic","Brevard","14557"
"32011","Callahan","Nassau","14509"
"32176","Ormond Beach","Volusia","14460"
"33873","Wauchula","Hardee","14162"
"34947","Fort Pierce","St. Lucie","14155"
"33170","Miami","Miami-Dade","14121"
"33478","Jupiter","Palm Beach","14067"
"32669","Newberry","Alachua","14037"
"32653","Gainesville","Alachua","14030"
"33132","Miami","Miami-Dade","13849"
"33315","Fort Lauderdale","Broward","13801"
"32931","Cocoa Beach","Brevard","13771"
"33129","Miami","Miami-Dade","13750"
"33019","Hollywood","Broward","13729"
"32615","Alachua","Alachua","13635"
"34479","Ocala","Marion","13603"
"32425","Bonifay","Holmes","13586"
"33776","Seminole","Pinellas","13573"
"32063","Macclenny","Baker","13482"
"32254","Jacksonville","Duval","13431"
"32908","Palm Bay","Brevard","13397"
"33980","Port Charlotte","Charlotte","13342"
"34669","Hudson","Pasco","13304"
"34236","Sarasota","Sarasota","13217"
"34475","Ocala","Marion","13179"
"32968","Vero Beach","Indian River","13154"
"34103","Naples","Collier","13129"
"32220","Jacksonville","Duval","12981"
"33149","Key Biscayne","Miami-Dade","12943"
"32348","Perry","Taylor","12935"
"33403","West Palm Beach","Palm Beach","12794"
"33513","Bushnell","Sumter","12713"
"33483","Delray Beach","Palm Beach","12703"
"32219","Jacksonville","Duval","12685"
"34432","Dunnellon","Marion","12673"
"32569","Mary Esther","Okaloosa","12657"
"34604","Brooksville","Hernando","12608"
"33477","Jupiter","Palm Beach","12608"
"32696","Williston","Levy","12436"
"32784","Umatilla","Lake","12371"
"32344","Monticello","Jefferson","12356"
"32801","Orlando","Orange","12243"
"33305","Fort Lauderdale","Broward","12222"
"33567","Plant City","Hillsborough","12195"
"33868","Polk City","Polk","12081"
"32776","Sorrento","Lake","12029"
"32951","Melbourne Beach","Brevard","11974"
"34452","Inverness","Citrus","11903"
"32693","Trenton","Gilchrist","11882"
"32054","Lake Butler","Union","11811"
"32095","Saint Augustine","St. Johns","11800"
"32643","High Springs","Alachua","11666"
"34222","Ellenton","Manatee","11659"
"33896","Davenport","Polk","11654"
"33853","Lake Wales","Polk","11649"
"33332","Fort Lauderdale","Broward","11622"
"34102","Naples","Collier","11548"
"33592","Thonotosassa","Hillsborough","11546"
"33875","Sebring","Highlands","11522"
"32222","Jacksonville","Duval","11521"
"34288","North Port","Sarasota","11511"
"34240","Sarasota","Sarasota","11442"
"33955","Punta Gorda","Charlotte","11436"
"34690","Holiday","Pasco","11408"
"33981","Port Charlotte","Charlotte","11407"
"34461","Lecanto","Citrus","11380"
"32340","Madison","Madison","11374"
"32333","Havana","Gadsden","11314"
"32640","Hawthorne","Alachua","11299"
"32501","Pensacola","Escambia","11134"
"32446","Marianna","Jackson","11115"
"33843","Frostproof","Polk","11032"
"33859","Lake Wales","Polk","11025"
"32754","Mims","Brevard","10984"
"32736","Eustis","Lake","10848"
"32407","Panama City Beach","Bay","10822"
"33037","Key Largo","Monroe","10816"
"34996","Stuart","Martin","10741"
"32148","Interlachen","Putnam","10710"
"34450","Inverness","Citrus","10692"
"34453","Inverness","Citrus","10621"
"33954","Port Charlotte","Charlotte","10573"
"33931","Fort Myers Beach","Lee","10566"
"32820","Orlando","Orange","10442"
"34488","Silver Springs","Marion","10424"
"32439","Freeport","Walton","10413"
"34448","Homosassa","Citrus","10394"
"33982","Punta Gorda","Charlotte","10391"
"32579","Shalimar","Okaloosa","10338"
"32920","Cape Canaveral","Brevard","10283"
"34956","Indiantown","Martin","10258"
"32169","New Smyrna Beach","Volusia","10228"
"32038","Fort White","Columbia","10184"
"32409","Panama City","Bay","10144"
"32680","Old Town","Dixie","10139"
"33480","Palm Beach","Palm Beach","10031"
"32561","Gulf Breeze","Santa Rosa","9925"
"32833","Orlando","Orange","9857"
"33316","Fort Lauderdale","Broward","9736"
"34987","Port St. Lucie","St. Lucie","9717"
"33050","Marathon","Monroe","9443"
"32827","Orlando","Orange","9427"
"32052","Jasper","Hamilton","9427"
"32046","Hilliard","Nassau","9418"
"33947","Rotonda West","Charlotte","9096"
"32976","Sebastian","Brevard","9092"
"34428","Crystal River","Citrus","9043"
"33841","Fort Meade","Polk","8969"
"34211","Bradenton","Manatee","8898"
"32626","Chiefland","Levy","8782"
"33540","Zephyrhills","Pasco","8652"
"33476","Pahokee","Palm Beach","8513"
"32448","Marianna","Jackson","8405"
"34607","Spring Hill","Hernando","8403"
"33762","Clearwater","Pinellas","8355"
"34429","Crystal River","Citrus","8338"
"33850","Lake Alfred","Polk","8324"
"32136","Flagler Beach","Flagler","8306"
"32110","Bunnell","Flagler","8267"
"32618","Archer","Alachua","8264"
"34436","Floral City","Citrus","8169"
"33194","Miami","Miami-Dade","8081"
"32456","Port Saint Joe","Gulf","8036"
"32814","Orlando","Orange","8021"
"34434","Dunnellon","Citrus","8021"
"34431","Dunnellon","Marion","8002"
"33128","Miami","Miami-Dade","7992"
"32550","Destin","Walton","7978"
"32465","Wewahitchka","Gulf","7962"
"32179","Ocklawaha","Marion","7919"
